ID,Artist,Title,Medium,Description,Details,Size,Category,Owner,Distributed,Location,Gallery,Status,Value.DRK,Value.FS,Value.Safeco,Acquired,ID.FS,ID.BK
1,"Coggins, William",Red Plains,Acrylic on Paper,Acrylic on Paper; acquired from Bowles Sorokko; size = 49x76; insured (#1),"Don't hang without plexiglass.  Keep out of direct sunlight.
Could replace with glass but would require re-framing",49x76,Fine Art,Chris,2021,Portland,Bowles Sorokko,Completed,5000,"$5,000.00",5000,1990,69,1
2,"Horejs, John",Spring Flowers,Oil on Canvas,Oil on Canvas; acquired from Brown (#2),NA,NA,Fine Art,Cathy,2025,Portland,Brown,Divide,750,$750.00,NA,1991,80,2
3,"Engel, Nissan",Cristal Suite (4),Aquaprint,"Aquaprint, Four panels; acquired from Nahan (NY); size = 12x10 (#3)",Four panels,12x10,Fine Art,Cathy,2021,Portland,Nahan (NY),Completed,2000,"$2,000.00",NA,1991,25,3
4,Roland,Wilton Forest,Oil on Paper,"Oil on Paper, photo; 
Was at Sun Valley
acquired from Severn; size = 50x38 (#4)
This was owned by Kevin but he transferred it to Bill in April '21",NA,50x38,Fine Art,Bill,2021,Scottsdale,Severn,Completed,3400,"$3,400.00",NA,1991,108,4
5,Mathews,"Cowboy, Bedroll & Dog",Watercolor,Original watercolor almost certainly overinsured; compare with https://williammatthewsstudio.com/paintings/high-mountain-sage/; acquired from Broschofsky; size = 38x29; insured (#5),Original watercolor almost certainly overinsured; compare with https://williammatthewsstudio.com/paintings/high-mountain-sage/,38x29,Fine Art,Chris,2025,Scottsdale,Broschofsky,Divide,9000,"$5,000.00",26000,1991,23,5
6,"Horejs, John",Wildflower Garden,Oil on Canvas,"Oil on Canvas, Triptic; acquired from Kneeland; size = 31x42; insured (#6)",Triptic,31x42,Fine Art,Bill,2025,Portland,Kneeland,Divide,4500,"$1,900.00",4500,1990,107,6
7,"Horejs, John",Twilight Grazer,Oil,Oil; acquired from Artist; size = 31x42 (#7),NA,31x42,Fine Art,Jean,2025,Scottsdale,Artist,Divide,2000,"$2,000.00",NA,1990,98,7
8,Ekooniak,Spirit of Liberty,AP,AP; acquired from Trans Eastern Trad; size = 24x36 (#8),NA,24x36,Fine Art,Kevin,2025,Scottsdale,Trans Eastern Trad,Divide,3000,"$3,000.00",NA,1988,79,8
9,Benecke,Paris,Acrylic,NA,NA,36x48,NA,NA,,Scottsdale,NJ,NA,3000,NA,NA,NA,NA,9
10,Giarizzo,Piazza Novona '85,Graphite on paper,Graphite on paper; acquired from Boise Art Museum (#10),NA,NA,Fine Art,Chris,2021,Portland,Boise Art Museum,Completed,3000,"$3,000.00",NA,1990,61,10
11,Jia Na,Ori,Fabric,NA,Japanese Saki-Ori 18th century,40x24,NA,NA,,Scottsdale,NJ,NA,4000,NA,4000,NA,NA,11
12,"Douglas, John",Tibetan Pheasant,Print,NA,NA,23x21,NA,NA,,Scottsdale,NJ,NA,1500,NA,NA,NA,NA,12
13,Reshon,Waterfowl (Two),Watercolor,Watercolor; One piece is in the big bedroom and the other is stored in the garage against the east wall; acquired from NJ; size = 14x21; insured (#13),Resnon or Reshon?,14x21,Fine Art,Chris,2025,Scottsdale,NJ,Divide,4000,"$4,000.00",4000,1985,106,13
14,"Cumming, William",Runner,Watercolor,Watercolor; acquired from Woodside/Braeseth; size = 12x9 (#14),NA,12x9,Fine Art,Cathy,2021,Portland,Woodside/Braeseth,Completed,1450,"$1,450.00",NA,1991,74,14
15,"Papart, Max",Renaissance,Aquatint,"Aquatint; 37/135 acquired from Nahan; size = 34x28, 39x32 framed  (#15)",NA,34x28,Fine Art,Cathy,2025,Scottsdale,Nahan,Divide,1750,"$1,750.00",NA,1992,71,15
16,"Arnaldi, Chuck",Untitled,Monoprint,"Monoprint, Inscribed on the back, ""For Don and Mary Sun Valley New Years 1992 -- Charles Arnaldi""; acquired from Ochi; size = 12x10 (#16)","Inscribed on the back, ""For Don and Mary Sun Valley New Years 1992 -- Charles Arnaldi""",12x10,Fine Art,Bill,2021,Portland,Ochi,Completed,1500,"$1,500.00",NA,1992,101,16
17,"Morris, William",Blown Glass Vessel,Blown Glass,Blown Glass; acquired from Friessen; insured (#17),NA,NA,Fine Art,Kevin,2021,Portland,Friessen,Completed,15000,"$65,000.00",65000,1992,12,17
18,"Devoe, Robert",Strollers Abroad,Oil on Canvas,Oil on Canvas; acquired from Severn; size = 11x22 (#18),NA,11x22,Fine Art,Jean,2021,Portland,Severn,Completed,1475,"$1,475.00",NA,1992,86,18
19,"Graves, Morris",Five Persimmons,Print,"Print, Limited 23/90; acquired from Severn; size = 23x29; insured (#19)",Limited 23/90,23x29,Fine Art,Jean,2021,Portland,Severn,Completed,2200,"$5,000.00",5000,1992,35,19
20,"Chihuli, Dale",Old Gold Spotted Seaform Set,Glass,"Glass, Blown glass set; acquired from Severn; size = 6x10x5; insured (#20)",Blown glass set,6x10x5,Fine Art,Kevin,2021,Portland,Severn,Completed,10000,"$10,000.00",10000,1997,57,20
