ID,Artist,Title,Medium,Links,Details,Size,Category,Owner,Location,Gallery,Status,Value.DRK,Value.FS,Value.Safeco,Acquired,ID.FS,ID.BK,Distributed
65,"Adams, Victoria",Things about Sky #43,Oil on Canvas,https://www.victoriaadamsart.com/,,12x12,Fine Art,Jean,Portland,Leach Gallery,Completed,2500,"$2,500.00",,2003,90,65,2021
50,"Airhart, David",Cat Boy,Oil,https://www.stewartgallery.com/david-airhart,,,,,Scottsdale,Stewart,,500,,,,,50,
219,"Alvino, B",lady sitting on rock,Metal,,,10 high,Fine Art,Bill,Portland,,Completed,,$850.00,,,48,219,2021
16,"Arnaldi, Chuck",Untitled,Monoprint,,"Inscribed on the back, ""For Don and Mary Sun Valley New Years 1992 -- Charles Arnaldi""",12x10,Fine Art,Bill,Portland,Ochi,Completed,1500,"$1,500.00",,1992,101,16,2021
228,"Bernstein, Donna",Field of Dreams,"Mixed media acrylics, ink on canvas",https://donnabernstein.com/,Have certificate of authenticity,36x48,Fine Art,Jean,Scottsdale,Celebration of Fine Art/Donna B Fine Art,Divide,3000,"$3,000.00",,2015,34,228,2025
204,"Bernstein, Donna",Lascaux,Mixed,https://donnabernstein.com/,"Mixed media acrylics, ink on fine watercolor paper, custom framed; have certificates of authenticity",,Fine Art,Jean,Scottsdale,Celebration of Fine Art/Donna B Fine Art,Divide,2000,"$2,000.00",,2015,49,204,2025
46,"Bloomdahl, Sonja",Glass Vase,Blown Glass,"https://sonjablomdahl.com/
https://en.wikipedia.org/wiki/Sonja_Blomdahl",,15 in,Fine Art,Kevin,Scottsdale,Boise Art Museum,Divide,8000,"$4,900.00",8000,2002,110,46,2025
40,"Branham, Robin",The Stick,Oil on Steel,https://www.robinbranham.com/bio,Misidentified earlier as double blue wave by Jensen,5 ft,Fine Art,Bill,Scottsdale,Celebration of Fine Art,Divide,1600,1600,,2010,29,40,2025
103,"Budnick, George",Georgia O'Keefe Portrait,Photograph,,Sitting Portrait,,Fine Art,Bob,Portland,Bishop (Scottsdale),Completed,860,$860.00,,1998,38,103,2021
FS37,"Budnick, George",Georgia O'Keefe,Photograph,,Portrait at work,,Fine Art,Chris,Portland,Bishop (Scottsdale),Divide,860,$600.00,,2002,37,103,2025
68,"Burt, Robert",Mexican Road Trip,Acrylic,https://renaissancerules.wordpress.com/2015/02/24/robert-burt-artist-of-mystery-adventure-and-joy/,,48x48,Fine Art,Cathy,Scottsdale,Xanadu  Gallery,Divide,5250,"$4,700.00",5250,2007,51,68,2025
112,"Burt, Robert",Conversation,Acrylic,https://renaissancerules.wordpress.com/2015/02/24/robert-burt-artist-of-mystery-adventure-and-joy/,,28x22,Fine Art,Jean,Scottsdale,Xanadu,Divide,1350,"$1,300.00",,2005,20,112,2025
114,"Carlson, George",Still Point,Bronze,https://www.georgecarlsonart.com/,Edition 12 of 21.  On bottom is “5293” and “Teresa”,25 in,Fine Art,Bill,Portland,Artist Studio,Completed,8000,"$8,000.00",,2005,9,114,2021
115,"Carlson, George",Interlude,Bronze,https://www.georgecarlsonart.com/,Edition 12 of 21.  On bottom says “Emily Standing” and “5850” and “5852”,25 in,Fine Art,Bill,Scottsdale,Artist Studio,Divide,8000,"$4,000.00",,2005,10,115,2025
